,name,volume,cost,location of manufacture,star rating,number of reviews,core features,main ingredients
71,Cotton Kitchen Towels,2 ct,9.0,International,4.7,46,"'o  organic', 'bd bio degradable', 'vf vegan friendly', 'cf cruelty free', 'an all natural', 'ef eco friendly'",100% organic Turkish cotton
72,Tree Free Paper Towels,2 ct,6.25,International,3.9,52,"'tf tree free', 'bb bam boo', 'sc sugar cane', 'bd bio degradable'","2 rolls per pack, non-GMO certified bamboo,sugarcane processed with elemental chlorine free (ECF) bleaching"
73,Castile Soap,16 fl oz,8.0,Domestic,4.6,61,"'bd bio degradable', 'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'ff fragrance free', 'cf cruelty free'","100% pure soap with all USDA certified organic, vegetable based ingredients"
74,Mandarin Basil Dish Soap,16 fl oz,4.25,Domestic,4.5,79,"'bd bio degradable', 'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","' , \'What’s in it: purified water, coconut-based active ingredients, citric acid, sea salt, mandarin orange,basil essential oils"
75,Dish Soap Refill,34 fl oz,7.5,Domestic,4.8,56,"'bd bio degradable', 'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","purified water, coconut-based active ingredients, citric acid, sea salt, mandarin orange,basil essential oils"
76,Lavender & Vanilla Scented Candle,3.5 oz,5.95,Domestic,4.6,76,"'pf paraben free', 'vf vegan friendly', 'cf cruelty free'","natural hand-poured soy wax, cotton wick,premium fragrance oil including lavender, vanilla, eucalyptus,coconut"
77,Black Currant Scented Candle,3.5 oz,5.95,Domestic,4.6,55,,"natural hand-poured soy wax, cotton wick,premium fragrance oil"
78,Cedar & Suede Scented Candle,3.5 oz,5.95,Domestic,4.5,73,"'pf paraben free', 'vf vegan friendly', 'cf cruelty free'","natural hand-poured soy wax, cotton wick,,premium fragrance oil including cedarwood, jasmine, amber,oakmoss"
79,Compostable Trash Bags (3 Gallon),25 ct,5.0,International,4.3,38,"'bd bio degradable', 'ff fragrance free', 'ef eco friendly'",25 BPI certified compostable plant plastic bags
80,Recycled Trash Bag 13 Gal,45 ct,4.5,International,3.9,70,"'ff fragrance free', 'ef eco friendly'",45 landfill friendly (oxo-biodegradable) polyethylene plastic bags
81,Recycled Trash Bag 28 Gal,25 ct,8.5,International,4.4,22,"'ff fragrance free', 'ef eco friendly'",25 landfill friendly (oxo-biodegradable) polyethylene plastic bags
82,Vacuum Bottle Black,17 fl oz,14.0,International,4.8,46,"'bf bpa free', 'ef eco friendly', 'pf phthalate free'","one vacuum insulated, high-grade 18/8 stainless steel bottle: 17 ounces, 0"
83,Vacuum Bottle Silver,17 fl oz,14.0,International,4.6,23,"'bf bpa free', 'ef eco friendly', 'pf phthalate free'","one vacuum insulated, high-grade 18/8 stainless steel bottle: 17 ounces, 0"
84,Vacuum Bottle White,17 fl oz,14.0,International,4.4,37,"'bf bpa free', 'ef eco friendly', 'pf phthalate free'","one vacuum insulated, high-grade 18/8 stainless steel bottle: 17 ounces, 0"
85,Coffee Filter Baskets,100 ct,3.0,Domestic,4.9,13,'bd bio degradable',unbleached coffee filters
86,Coffee Filter Cones,100 ct,3.0,Domestic,4.5,22,'bd bio degradable',unbleached coffee filters
87,Reusable Food Storage Wraps,3 ct,14.0,International,4.5,53,"'bd bio degradable', 'an all natural', 'ef eco friendly'","cotton, beeswax, plant oils,tree resin"
88,Bamboo Straws,6 ct,5.0,International,4.7,57,"'bb bam boo', 'bd bio degradable', 'an all natural', 'ef eco friendly'",100% natural bamboo
89,Reusable Cotton Produce Bag,2 ct,4.5,International,4.8,24,"'o  organic', 'bd bio degradable', 'vf vegan friendly', 'an all natural', 'ef eco friendly'","This product is 100% organic,a sustainable alternative to disposable shopping bags"
90,Wide Mesh Tote,1 ct,9.0,International,4.8,28,"'o  organic', 'bd bio degradable', 'an all natural', 'ef eco friendly'","a 100% organic,a sustainable alternative to disposable produce bags"
91,Reusable Mesh Grocery Bag,2 ct,4.0,International,4.5,36,"'o  organic', 'bd bio degradable', 'vf vegan friendly', 'an all natural', 'ef eco friendly'","This product is 100% organic,a sustainable alternative to disposable produce bags"
92,Reusable Cotton Tote Bag,1 ct,20.0,International,4.8,57,"'o  organic', 'bd bio degradable', 'vf vegan friendly', 'an all natural', 'ef eco friendly'","This product is 100% organic,a sustainable alternative to disposable shopping bags"
93,Laundry Detergent Pods,24 ct,6.95,Domestic,4.6,92,"'bd bio degradable', 'ff fragrance free', 'bs baby safe', 'an all natural'",24 water-soluble pods containing soda ash
94,Fabric Softener Sheets,80 ct,4.5,Domestic,3.8,31,"'bd bio degradable', 'gf gluten free', 'ff fragrance free', 'bs baby safe', 'an all natural'","80 rayon sheets (plant-based), C16-18 glycer (plant-derived softener), Di-(palm carboxyethyl) hydroxyethyl methylammonium methyl sulfates (plant-based softener),C16-18 fatty acids (plant-derived softener)"
95,"Washcloth 12"" x 12""",1 ct,5.0,International,4.9,24,"'o  organic', 'bd bio degradable', 'vf vegan friendly', 'cf cruelty free', 'an all natural', 'ef eco friendly', 'ng non gmo'",100% organic Turkish cotton
96,"Hand Towel (20"" x 30"")",1 ct,12.0,International,4.8,26,"'o  organic', 'bd bio degradable', 'vf vegan friendly', 'cf cruelty free', 'an all natural', 'ef eco friendly', 'ng non gmo'",100% organic Turkish cotton
97,"Large Bath Towel (30"" x 56"")",1 ct,25.0,International,4.9,42,"'o  organic', 'bd bio degradable', 'vf vegan friendly', 'cf cruelty free', 'an all natural', 'ef eco friendly'",100% organic Turkish cotton
98,"Extra Large Bath Towel (40"" x 70"")",1 ct,45.0,International,4.9,18,"'o  organic', 'bd bio degradable', 'vf vegan friendly', 'cf cruelty free', 'an all natural', 'ef eco friendly', 'ng non gmo'",100% organic Turkish cotton
99,"Bath Mat (20"" x 36"")",1 ct,36.0,International,4.9,22,"'o  organic', 'bd bio degradable', 'vf vegan friendly', 'cf cruelty free', 'an all natural', 'ef eco friendly', 'ng non gmo'",100% organic Turkish cotton
100,Organic Towel Set,1 set',39.0,International,5.0,21,"'o  organic', 'bd bio degradable', 'vf vegan friendly', 'cf cruelty free', 'an all natural', 'ef eco friendly', 'ng non gmo'",100% Organic Turkish Cotton
101,Tea Tree Essential Oil,1 fl oz,7.75,International,4.8,25,"'vf vegan friendly', 'an all natural'","100% natural, organic tea tree oil (melaleuca alternifolia)"
102,Argan Oil,2 fl oz,9.25,International,4.9,56,"'o  organic', 'vf vegan friendly', 'an all natural'","100% natural, organic cold pressed argan oil (argania spinosa)"
103,Lemon Essential Oil,1 fl oz,7.0,International,5.0,25,"'bd bio degradable', 'vf vegan friendly', 'cf cruelty free', 'an all natural', 'ef eco friendly'",100% lemon oil
104,Peppermint Essential Oil,1 fl oz,10.0,International,4.9,28,,"100% natural, organic peppermint oil (mentha piperita)"
105,Rosemary Essential Oil,1 oz,8.0,International,4.8,20,"'bd bio degradable', 'vf vegan friendly', 'cf cruelty free', 'an all natural', 'ef eco friendly'","100% premium, organic, therapeutic grade rosemary oil (Rosmarinus officinalis)"
106,Eucalyptus Essential Oil,1 fl oz,6.5,International,4.7,35,"'vf vegan friendly', 'cf cruelty free'","100% natural, organic eucalyptus oil (eucalyptus globulus)"
107,Lavender Essential Oil,1 fl oz,13.0,International,4.7,40,,"100% natural, organic lavender oil (lavandula angustifolia)"
108,Herb Trio Kit,1 ct,33.0,Domestic,5.0,2,,"Cilantro, basil,,parsley seeds, biodegradable pots,,a premium wooden planter"
109,Lemonade Mix,12 oz,8.75,Domestic,3.4,10,,"raw cane sugar, citric acid, tapioca starch,natural flavors"
110,Strawberry Acai Lemonade Mix,12 oz,8.75,Domestic,3.7,20,'an all natural',"raw cane sugar, citric acid, tapioca starch, natural flavors,acai powder"
111,Hot Cocoa Mix,12 oz,8.75,Domestic,4.5,20,'an all natural',"raw cane sugar,cocoa powder"
112,Marshmallows,4 oz,5.75,Domestic,4.5,34,"'gf gluten free', 'an all natural', 'ng non gmo'","organic cane sugar, non-GMO tapioca syrup, filtered water, non-GMO rice starch, gelatin, sea salt, non-GMO vanilla beans, non-GMO natural flavors,non-GMO tapioca starch'"
113,Seaweed Snacks,1.41 oz,5.25,International,4.3,30,"'b baked not fried', 'pp plant protein', 'nr nutrient rich'","maltose, black glutinous rice, seaweed, almond, white sesame, soy sauce (non-GMO soybeans, water, salt, sugar),salt"
114,Peanut Butter,12 oz,4.75,International,4.0,26,"'vf vegan friendly', 'ng non gmo'","organic roasted peanuts,salt"
115,Almond Butter,12 oz,9.0,International,4.7,28,"'vf vegan friendly', 'ng non gmo', 'af additive free'","roasted almonds,sea salt"
116,Strawberry Jam,12 oz,4.0,International,4.9,22,"'gf gluten free', 'ng non gmo'","organic strawberries, organic cane sugar, organic lemon juice concentrate,fruit pectin'"
117,Raspberry Jam,12 oz,4.0,International,4.9,22,"'gf gluten free', 'ng non gmo'","organic raspberries, organic cane sugar, organic lemon juice concentrate,fruit pectin"
118,Blueberry Jam,12 oz,4.0,International,4.6,22,"'gf gluten free', 'ng non gmo'","organic blueberries, organic cane sugar, organic lemon juice concentrate,fruit pectin"
119,Dried Cranberries,8 oz,4.9,Domestic,4.8,13,"'o  organic', 'ng non gmo', 'ko  kosher'","organic cranberries, organic cane sugar,sunflower oil"
120,Roasted Salted Cashews,8 oz,8.25,International,4.3,4,"'o  organic', 'gf gluten free', 'ng non gmo'","Organic cashews,salt"
121,Chia Seeds,11 oz,4.9,International,5.0,3,"'o  organic', 'gf gluten free', 'ng non gmo'","Organic, non-GMO chia seeds"
122,Thompson Raisins,8 oz,3.4,Domestic,4.8,4,"'o  organic', 'gf gluten free', 'ng non gmo'",Organic Thompson raisins
123,Pistachios,8 oz,8.75,Domestic,5.0,4,'o  organic',"Organic pistachios in the shell, salt"
124,Vanilla & Coconut Grain-Free Granola,8 oz,7.5,International,4.8,12,"'gf gluten free', 'ng non gmo'","Coconut, green saba bananas, nuts, seeds,,bourbon vanilla extract"
125,Pumpkin Seeds,8 oz,5.75,International,4.8,5,"'o  organic', 'gf gluten free', 'ng non gmo'","Organic pumpkin seeds, organic sunflower oil,,salt"
126,Candied Pecans,5 oz,6.75,Domestic,4.9,47,"'an all natural', 'af additive free'","pecans, sugar, canola oil,salt"
127,Sweet & Spicy Pecans,5 oz,5.75,Domestic,4.9,24,"'gf gluten free', 'ng non gmo', 'af additive free', 'ko  kosher'","pecans, sugar, canola oil, spices,salt"
128,Roasted & Salted Almonds,8 oz,6.9,Domestic,4.9,10,"'o  organic', 'ng non gmo', 'ko  kosher'","organic almonds,salt"
129,Garlic Almonds,5 oz,5.75,Domestic,4.8,46,"'an all natural', 'af additive free'","almonds, sugar, canola oil, salt, dehydrated garlic, tapioca syrup, cayenne pepper,black pepper"
130,Chipotle Almonds,5 oz,5.75,Domestic,4.8,22,"'gf gluten free', 'ng non gmo', 'af additive free', 'ko  kosher'","almonds, sugar, spices, canola oil,tapioca syrup'"
131,Chocolate Almonds,5 oz,5.75,Domestic,4.8,48,"'an all natural', 'af additive free'","almonds, sugar, canola oil, tapioca syrup, cocoa,salt"
132,Garlic & Olive Oil Couscous,5.8 oz,4.5,International,4.6,14,"'o  organic', 'ng non gmo', 'af additive free'","organic couscous, roasted garlic,extra virgin olive oil"
